"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 08 10:21:43 UTC 2021","Wed Sep 08 10:22:26 UTC 2021","43068","All Test Suite","automationwebapp_pom","tests.Squad.squadsCreate","tests.Squad.squadsCreate","addRealParticipant","addRealParticipant",""
"passed","Wed Sep 08 10:40:38 UTC 2021","Wed Sep 08 10:40:41 UTC 2021","3172","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","clickSubmitButtonWithInvalidEmail","clickSubmitButtonWithInvalidEmail",""
"passed","Wed Sep 08 09:52:32 UTC 2021","Wed Sep 08 09:52:52 UTC 2021","20227","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeFirstNameWithSymbol","changeFirstNameWithSymbol",""
"passed","Wed Sep 08 10:18:23 UTC 2021","Wed Sep 08 10:18:29 UTC 2021","5923","All Test Suite","automationwebapp_pom","tests.Profile.transaction","tests.Profile.transaction","downloadTransaction","downloadTransaction",""
"passed","Wed Sep 08 10:19:44 UTC 2021","Wed Sep 08 10:19:54 UTC 2021","9197","All Test Suite","automationwebapp_pom","tests.Squad.squadsCreate","tests.Squad.squadsCreate","addFakeParticipant","addFakeParticipant",""
"passed","Wed Sep 08 10:27:43 UTC 2021","Wed Sep 08 10:27:45 UTC 2021","1678","All Test Suite","automationwebapp_pom","tests.dashboard","tests.dashboard","verifyIfInstagramIconLeadsToInstagramPage","Test:Click on Instagram Icon on Footer, verify if it is taking to instagram page or not.",""
"passed","Wed Sep 08 10:39:22 UTC 2021","Wed Sep 08 10:39:43 UTC 2021","20923","All Test Suite","automationwebapp_pom","tests.messaging","tests.messaging","sendMessageToMySelf","sendMessageToMySelf",""
"passed","Wed Sep 08 10:37:03 UTC 2021","Wed Sep 08 10:37:34 UTC 2021","30364","All Test Suite","automationwebapp_pom","tests.messaging","tests.messaging","sendMessage","sendMessage",""
"skipped","Wed Sep 08 11:15:59 UTC 2021","Wed Sep 08 11:15:59 UTC 2021","2","All Test Suite","automationwebapp_pom","tests.Profile.Disclouser","tests.Profile.Disclouser","openSurveyorReport","openSurveyorReport",""
"passed","Wed Sep 08 11:04:35 UTC 2021","Wed Sep 08 11:04:38 UTC 2021","3514","All Test Suite","automationwebapp_pom","tests.Profile.Disclouser","tests.Profile.Disclouser","openCookiePolicy","openCookiePolicy",""
"passed","Wed Sep 08 10:00:49 UTC 2021","Wed Sep 08 10:01:07 UTC 2021","17098","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","submitPasswordWithoutNewPassword","submitPasswordWithoutNewPassword",""
"passed","Wed Sep 08 10:23:35 UTC 2021","Wed Sep 08 10:23:46 UTC 2021","11069","All Test Suite","automationwebapp_pom","tests.Squad.squadsCreate","tests.Squad.squadsCreate","addRealParticipantWithoutMember","addRealParticipantWithoutMember",""
"broken","Wed Sep 08 11:05:58 UTC 2021","Wed Sep 08 11:10:59 UTC 2021","301001","All Test Suite","automationwebapp_pom","tests.Profile.Disclouser","tests.Profile.Disclouser","openDataSources","openDataSources",""
"broken","Wed Sep 08 10:04:43 UTC 2021","Wed Sep 08 10:05:09 UTC 2021","26066","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","checkPasswordWithoutSpecialCharacter","checkPasswordWithoutSpecialCharacter",""
"passed","Wed Sep 08 10:07:43 UTC 2021","Wed Sep 08 10:08:03 UTC 2021","19879","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeAddressWithoutCity","changeAddressWithoutCity",""
"passed","Wed Sep 08 11:01:06 UTC 2021","Wed Sep 08 11:01:31 UTC 2021","24480","All Test Suite","automationwebapp_pom","tests.Profile.Activites","tests.Profile.Activites","clickAllInterestList","clickAllInterestList",""
"passed","Wed Sep 08 10:20:25 UTC 2021","Wed Sep 08 10:20:33 UTC 2021","8152","All Test Suite","automationwebapp_pom","tests.Squad.squadsCreate","tests.Squad.squadsCreate","addEmptyParticipant","addEmptyParticipant",""
"passed","Wed Sep 08 10:13:06 UTC 2021","Wed Sep 08 10:13:22 UTC 2021","15334","All Test Suite","automationwebapp_pom","tests.Profile.profile","tests.Profile.profile","checkClusterHoldingSection","checkClusterHoldingSection",""
"broken","Wed Sep 08 10:43:08 UTC 2021","Wed Sep 08 10:43:15 UTC 2021","7166","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","creatAccountWithoutRePassword","creatAccountWithoutRePassword",""
"broken","Wed Sep 08 09:56:10 UTC 2021","Wed Sep 08 09:56:10 UTC 2021","38","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","uploadProfilePicWithTextFile","uploadProfilePicWithTextFile",""
"passed","Wed Sep 08 10:14:01 UTC 2021","Wed Sep 08 10:14:17 UTC 2021","15854","All Test Suite","automationwebapp_pom","tests.Profile.profile","tests.Profile.profile","checkTransactionSection","checkTransactionSection",""
"passed","Wed Sep 08 09:58:52 UTC 2021","Wed Sep 08 09:59:16 UTC 2021","24107","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeCountry","changeCountry",""
"passed","Wed Sep 08 10:39:52 UTC 2021","Wed Sep 08 10:39:55 UTC 2021","2981","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","clickSubmitButtonWithEmptyFields","clickSubmitButtonWithEmptyFields",""
"broken","Wed Sep 08 10:40:50 UTC 2021","Wed Sep 08 10:40:57 UTC 2021","6753","All Test Suite","automationwebapp_pom","tests.signup","tests.signup","clickSubmitButtonWithEmailAndPassword","clickSubmitButtonWithEmailAndPassword",""
"broken","Wed Sep 08 10:30:13 UTC 2021","Wed Sep 08 10:30:13 UTC 2021","653","All Test Suite","automationwebapp_pom","tests.gifting","tests.gifting","sendGiftWithoutCardThroughPhone","sendGiftWithoutCardThroughPhone",""
"broken","Wed Sep 08 10:35:25 UTC 2021","Wed Sep 08 10:35:31 UTC 2021","5779","All Test Suite","automationwebapp_pom","tests.login","tests.login","forgotPasswordWithOutSymbol","forgotPasswordWithOutSymbol",""
"passed","Wed Sep 08 10:14:55 UTC 2021","Wed Sep 08 10:15:10 UTC 2021","15043","All Test Suite","automationwebapp_pom","tests.Profile.profile","tests.Profile.profile","checkEmailPrefSection","checkEmailPrefSection",""
"passed","Wed Sep 08 10:19:13 UTC 2021","Wed Sep 08 10:19:13 UTC 2021","191","All Test Suite","automationwebapp_pom","tests.Squad.squads","tests.Squad.squads","checkSquad","checkSquad",""
"broken","Wed Sep 08 11:03:54 UTC 2021","Wed Sep 08 11:03:54 UTC 2021","25","All Test Suite","automationwebapp_pom","tests.Profile.Disclouser","tests.Profile.Disclouser","openPrivacyPolicyLink","openPrivacyPolicyLink",""
"passed","Wed Sep 08 10:08:42 UTC 2021","Wed Sep 08 10:09:01 UTC 2021","19410","All Test Suite","automationwebapp_pom","tests.Profile.personalDetails","tests.Profile.personalDetails","changeAddressWithoutState","changeAddressWithoutState",""
"passed","Wed Sep 08 11:05:18 UTC 2021","Wed Sep 08 11:05:20 UTC 2021","2107","All Test Suite","automationwebapp_pom","tests.Profile.Disclouser","tests.Profile.Disclouser","openGuardianTermsAndConditions","openGuardianTermsAndConditions",""
